domain,bloc,period,n_speeches,n_mentions,mention_rate
Housing,liberal,pre,24254,2929,0.12076358538797724
Housing,liberal,post,26084,2273,0.08714154270817359
Housing,conservative,pre,18769,2414,0.1286163354467473
Housing,conservative,post,11836,1047,0.08845893883068605
Defense,liberal,pre,7866,2333,0.2965929316043733
Defense,liberal,post,11511,2518,0.21874728520545564
Defense,conservative,pre,7958,1913,0.24038703191756722
Defense,conservative,post,4154,976,0.23495426095329802
Education,liberal,pre,7520,3830,0.5093085106382979
Education,liberal,post,16222,6481,0.3995191714954999
Education,conservative,pre,3750,1586,0.42293333333333333
Education,conservative,post,3504,1579,0.4506278538812785
Welfare,liberal,pre,8590,2187,0.25459837019790454
Welfare,liberal,post,10142,2715,0.2676986787615855
Welfare,conservative,pre,5408,1034,0.191198224852071
Welfare,conservative,post,4901,1382,0.28198326872066926
