analysis,parameter,value,note
setup,N_observations,674,pooled five-vote design
setup,N_unique_legislators,159,DPK legislators
setup,baseline_dissent_rate,0.141,95 dissent events out of 674
setup,pseudo_r2_ideology,0.380,McFadden pseudo R-sq from NOMINATE alone
setup,beta_ideology_calibrated,2.344,calibrated to match pseudo R-sq = 0.380
setup,alpha,0.05,two-sided
setup,target_power,0.80,
setup,n_simulations,2000,per candidate beta value
setup,correlation_nominate_asset,0.30,assumed moderate correlation
mde_clustered,beta_asset,0.345,standardized log real estate
mde_clustered,marginal_effect_pp,4.2,percentage points at baseline
mde_clustered,odds_ratio,1.412,exp(0.345)
mde_nonclustered,beta_asset,0.326,without cluster-robust SEs
mde_nonclustered,marginal_effect_pp,4.0,
sensitivity_rho0.0,mde_beta,0.325,
sensitivity_rho0.0,mde_marginal_pp,3.9,
sensitivity_rho0.1,mde_beta,0.321,
sensitivity_rho0.1,mde_marginal_pp,3.9,
sensitivity_rho0.2,mde_beta,0.335,
sensitivity_rho0.2,mde_marginal_pp,4.1,
sensitivity_rho0.3,mde_beta,0.347,baseline assumption
sensitivity_rho0.3,mde_marginal_pp,4.2,
sensitivity_rho0.4,mde_beta,0.366,
sensitivity_rho0.4,mde_marginal_pp,4.4,
sensitivity_rho0.5,mde_beta,0.386,
sensitivity_rho0.5,mde_marginal_pp,4.7,
power_curve_beta0.20,power,0.383,
power_curve_beta0.22,power,0.447,
power_curve_beta0.24,power,0.502,
power_curve_beta0.26,power,0.562,
power_curve_beta0.28,power,0.632,
power_curve_beta0.30,power,0.693,
power_curve_beta0.32,power,0.744,
power_curve_beta0.34,power,0.791,
power_curve_beta0.36,power,0.830,
power_curve_beta0.38,power,0.865,
power_curve_beta0.40,power,0.895,
power_curve_beta0.42,power,0.925,
power_curve_beta0.44,power,0.946,
power_curve_beta0.46,power,0.963,
power_curve_beta0.48,power,0.973,
power_curve_beta0.50,power,0.982,
